sample,NSD1
TCGA-D8-A1XT-01,12.87
TCGA-E2-A155-01,12.77
TCGA-EW-A1P4-01,12.6
TCGA-A2-A1FW-01,12.58
TCGA-D8-A1Y0-01,12.52
TCGA-D8-A1XK-01,12.48
TCGA-AR-A0TZ-01,12.4
TCGA-A2-A1G1-01,12.4
TCGA-BH-A18P-01,12.37
TCGA-BH-A18R-01,12.37
TCGA-E9-A1R4-01,12.37
TCGA-E9-A2JS-01,12.37
TCGA-AR-A0TS-01,12.36
TCGA-EW-A1P5-01,12.36
TCGA-A7-A26J-01,12.33
TCGA-A1-A0SN-01,12.31
TCGA-A2-A0YG-01,12.3
TCGA-A8-A06Q-01,12.3
TCGA-AR-A2LK-01,12.29
TCGA-A7-A26E-01,12.26
TCGA-AO-A0JD-01,12.25
TCGA-A7-A26F-01,12.24
TCGA-AR-A24R-01,12.22
TCGA-B6-A0X1-01,12.21
TCGA-D8-A1XJ-01,12.21
TCGA-E2-A15M-01,12.2
TCGA-E9-A1R7-01,12.2
TCGA-BH-A0HL-01,12.18
TCGA-AR-A2LR-01,12.17
TCGA-C8-A12Z-01,12.16
TCGA-BH-A18L-01,12.13
TCGA-AR-A24U-01,12.12
TCGA-AO-A1KS-01,12.1
TCGA-E2-A15S-01,12.09
TCGA-BH-A1EU-01,12.09
TCGA-A8-A0A9-01,12.08
TCGA-D8-A1JC-01,12.08
TCGA-B6-A0RU-01,12.07
TCGA-BH-A0B7-01,12.04
TCGA-D8-A1J9-01,12.04
TCGA-A8-A08G-01,12.03
TCGA-BH-A0DD-01,12.02
TCGA-A2-A04T-01,12.02
TCGA-A8-A07E-01,12.02
TCGA-E2-A10B-01,12.02
TCGA-A1-A0SB-01,12.02
TCGA-BH-A18M-01,12.01
TCGA-3C-AAAU-01,12.01
TCGA-D8-A27V-01,12.01
TCGA-A8-A08S-01,12
TCGA-AR-A24H-01,12
TCGA-AR-A254-01,12
TCGA-AR-A255-01,12
TCGA-E9-A1N9-01,11.99
TCGA-AR-A1AY-01,11.98
TCGA-D8-A1JA-01,11.97
TCGA-E9-A1RC-01,11.97
TCGA-D8-A13Z-01,11.96
TCGA-A8-A07G-01,11.96
TCGA-E2-A15P-01,11.96
TCGA-A8-A09G-01,11.95
TCGA-E2-A15T-01,11.95
TCGA-C8-A132-01,11.95
TCGA-D8-A1JG-01,11.95
TCGA-A8-A07I-01,11.94
TCGA-B6-A0WT-01,11.94
TCGA-A8-A08F-01,11.93
TCGA-A8-A09R-01,11.93
TCGA-A2-A0T7-01,11.93
TCGA-A8-A09N-01,11.92
TCGA-A8-A0A2-01,11.92
TCGA-AR-A24Z-01,11.92
TCGA-BH-A0W3-01,11.91
TCGA-AR-A0TR-01,11.91
TCGA-E9-A248-01,11.91
TCGA-E9-A1N5-11,11.9
TCGA-E2-A1B0-01,11.9
TCGA-A8-A07F-01,11.9
TCGA-E2-A15I-01,11.9
TCGA-A2-A4RW-01,11.9
TCGA-AR-A256-01,11.9
TCGA-E9-A22H-01,11.9
TCGA-BH-A0B8-01,11.89
TCGA-A2-A25C-01,11.89
TCGA-A7-A3IZ-01,11.89
TCGA-D8-A1XM-01,11.89
TCGA-LL-A442-01,11.89
TCGA-A8-A07L-01,11.88
TCGA-A2-A0YT-01,11.88
TCGA-AR-A252-01,11.88
TCGA-BH-A18T-01,11.87
TCGA-D8-A1JD-01,11.87
TCGA-D8-A1XB-01,11.87
TCGA-EW-A6S9-01,11.87
TCGA-AN-A03Y-01,11.86
TCGA-B6-A0IM-01,11.86
TCGA-E2-A15R-01,11.86
TCGA-D8-A1XD-01,11.86
TCGA-BH-A0DG-11,11.85
TCGA-A2-A0T3-01,11.85
TCGA-A8-A095-01,11.85
TCGA-BH-A0B5-01,11.85
TCGA-D8-A1X9-01,11.85
TCGA-D8-A1XA-01,11.85
TCGA-D8-A147-01,11.84
TCGA-AN-A0XO-01,11.84
TCGA-BH-A0C1-01,11.84
TCGA-AO-A03O-01,11.83
TCGA-A8-A08O-01,11.83
TCGA-E9-A229-01,11.83
TCGA-BH-A18K-11,11.82
TCGA-A2-A0ET-01,11.82
TCGA-BH-A1FE-11,11.81
TCGA-AR-A1AV-01,11.81
TCGA-A7-A0CG-01,11.81
TCGA-A8-A091-01,11.81
TCGA-AR-A24P-01,11.81
TCGA-D8-A1JM-01,11.81
TCGA-BH-A1EV-01,11.8
TCGA-A8-A08Z-01,11.8
TCGA-A2-A25F-01,11.8
TCGA-BH-A1FU-01,11.8
TCGA-E2-A1IL-01,11.8
TCGA-E9-A1R5-01,11.8
TCGA-BH-A1EW-11,11.79
TCGA-D8-A145-01,11.79
TCGA-AC-A2B8-01,11.79
TCGA-D8-A1JL-01,11.79
TCGA-AR-A0TX-01,11.78
TCGA-A8-A0AB-01,11.78
TCGA-A8-A0A4-01,11.78
TCGA-A7-A13G-01,11.78
TCGA-A8-A09V-01,11.77
TCGA-AC-A2FF-01,11.77
TCGA-BH-A202-01,11.77
TCGA-BH-A28Q-01,11.77
TCGA-BH-A208-11,11.76
TCGA-AN-A0AK-01,11.76
TCGA-B6-A0WV-01,11.76
TCGA-A7-A26I-01,11.76
TCGA-D8-A27K-01,11.76
TCGA-EW-A1OX-01,11.76
TCGA-BH-A18J-01,11.75
TCGA-D8-A13Y-01,11.75
TCGA-AO-A1KO-01,11.75
TCGA-AR-A24L-01,11.75
TCGA-D8-A1X8-01,11.75
TCGA-E2-A1LB-11,11.74
TCGA-B6-A0I9-01,11.74
TCGA-AC-A2QH-01,11.74
TCGA-BH-A18V-06,11.73
TCGA-A8-A076-01,11.73
TCGA-A7-A13D-01,11.73
TCGA-AN-A0FX-01,11.73
TCGA-AC-A2FK-01,11.73
TCGA-D8-A1J8-01,11.73
TCGA-E2-A1LG-01,11.73
TCGA-E9-A226-01,11.73
TCGA-BH-A0DL-01,11.72
TCGA-BH-A0H3-01,11.72
TCGA-A2-A4RX-01,11.72
TCGA-BH-A1FL-01,11.72
TCGA-E2-A152-01,11.71
TCGA-BH-A0W4-01,11.71
TCGA-BH-A18N-01,11.71
TCGA-BH-A204-01,11.71
TCGA-C8-A1HK-01,11.71
TCGA-D8-A27H-01,11.71
TCGA-E9-A1N3-01,11.71
TCGA-S3-A6ZF-01,11.71
TCGA-BH-A18Q-11,11.7
TCGA-A8-A09D-01,11.7
TCGA-A8-A083-01,11.7
TCGA-AC-A2FB-01,11.7
TCGA-AR-A24X-01,11.7
TCGA-BH-A201-01,11.7
TCGA-E9-A1RD-01,11.7
TCGA-E9-A2JT-01,11.7
TCGA-EW-A1PB-01,11.7
TCGA-AR-A1AJ-01,11.69
TCGA-AC-A6IX-01,11.69
TCGA-BH-A0BW-11,11.68
TCGA-A8-A06O-01,11.68
