Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0000,MB-0000,-1.1518
brca_metabric,MB-0002,MB-0002,0.5504
brca_metabric,MB-0005,MB-0005,-1.9043
brca_metabric,MB-0006,MB-0006,-1.5423
brca_metabric,MB-0008,MB-0008,-0.7673
brca_metabric,MB-0010,MB-0010,-0.8345
brca_metabric,MB-0014,MB-0014,-1.3011
brca_metabric,MB-0020,MB-0020,-1.1725
brca_metabric,MB-0022,MB-0022,-1.0443
brca_metabric,MB-0025,MB-0025,NA
brca_metabric,MB-0028,MB-0028,1.6858
brca_metabric,MB-0035,MB-0035,1.5679
brca_metabric,MB-0036,MB-0036,-1.1221
brca_metabric,MB-0039,MB-0039,-0.3165
brca_metabric,MB-0045,MB-0045,-0.616
brca_metabric,MB-0046,MB-0046,-0.8408
brca_metabric,MB-0048,MB-0048,-0.6216
brca_metabric,MB-0050,MB-0050,-0.0862
brca_metabric,MB-0053,MB-0053,-1.4057
brca_metabric,MB-0054,MB-0054,-1.8188
brca_metabric,MB-0056,MB-0056,-1.5847
brca_metabric,MB-0059,MB-0059,-0.8714
brca_metabric,MB-0060,MB-0060,-0.5006
brca_metabric,MB-0062,MB-0062,-2.102
brca_metabric,MB-0064,MB-0064,-1.1488
brca_metabric,MB-0066,MB-0066,0.0359
brca_metabric,MB-0068,MB-0068,-0.322
brca_metabric,MB-0071,MB-0071,-1.7518
brca_metabric,MB-0079,MB-0079,-1.551
brca_metabric,MB-0081,MB-0081,-0.7399
brca_metabric,MB-0083,MB-0083,-1.329
brca_metabric,MB-0093,MB-0093,-0.4485
brca_metabric,MB-0095,MB-0095,-0.572
brca_metabric,MB-0097,MB-0097,-0.9004
brca_metabric,MB-0099,MB-0099,-0.7778
brca_metabric,MB-0100,MB-0100,-0.237
brca_metabric,MB-0101,MB-0101,-1.1063
brca_metabric,MB-0102,MB-0102,-0.6039
brca_metabric,MB-0106,MB-0106,-0.6073
brca_metabric,MB-0107,MB-0107,-2.1913
brca_metabric,MB-0108,MB-0108,-1.1599
brca_metabric,MB-0109,MB-0109,0.0173
brca_metabric,MB-0110,MB-0110,-0.292
brca_metabric,MB-0111,MB-0111,-0.6251
brca_metabric,MB-0112,MB-0112,0.4206
brca_metabric,MB-0113,MB-0113,-1.0909
brca_metabric,MB-0114,MB-0114,0.1639
brca_metabric,MB-0115,MB-0115,-0.5401
brca_metabric,MB-0116,MB-0116,-0.5941
brca_metabric,MB-0117,MB-0117,1.1096
brca_metabric,MB-0119,MB-0119,-2.2869
brca_metabric,MB-0120,MB-0120,-0.7963
brca_metabric,MB-0121,MB-0121,-1.0708
brca_metabric,MB-0122,MB-0122,-0.7923
brca_metabric,MB-0123,MB-0123,-0.8351
brca_metabric,MB-0124,MB-0124,-1.5429
brca_metabric,MB-0125,MB-0125,-0.0851
brca_metabric,MB-0126,MB-0126,-0.8765
brca_metabric,MB-0127,MB-0127,-0.4492
brca_metabric,MB-0128,MB-0128,0.1783
brca_metabric,MB-0129,MB-0129,-0.5184
brca_metabric,MB-0130,MB-0130,-0.7964
brca_metabric,MB-0131,MB-0131,-0.1181
brca_metabric,MB-0133,MB-0133,-1.0636
brca_metabric,MB-0134,MB-0134,-0.6285
brca_metabric,MB-0135,MB-0135,1.6676
brca_metabric,MB-0136,MB-0136,-0.0096
brca_metabric,MB-0138,MB-0138,-0.5693
brca_metabric,MB-0139,MB-0139,0.047
brca_metabric,MB-0140,MB-0140,-0.7628
brca_metabric,MB-0142,MB-0142,-0.6354
brca_metabric,MB-0143,MB-0143,-0.2914
brca_metabric,MB-0144,MB-0144,-0.7974
brca_metabric,MB-0145,MB-0145,0.2358
brca_metabric,MB-0146,MB-0146,0.163
brca_metabric,MB-0147,MB-0147,-1.2256
brca_metabric,MB-0148,MB-0148,-0.8497
brca_metabric,MB-0149,MB-0149,-1.8305
brca_metabric,MB-0150,MB-0150,-0.3881
brca_metabric,MB-0151,MB-0151,-0.7086
brca_metabric,MB-0152,MB-0152,-0.8587
brca_metabric,MB-0153,MB-0153,-1.1883
brca_metabric,MB-0154,MB-0154,-1.4365
brca_metabric,MB-0155,MB-0155,0.1971
brca_metabric,MB-0156,MB-0156,-0.4589
brca_metabric,MB-0157,MB-0157,-0.1874
brca_metabric,MB-0158,MB-0158,-0.5652
brca_metabric,MB-0159,MB-0159,-0.8339
brca_metabric,MB-0160,MB-0160,-0.1303
brca_metabric,MB-0162,MB-0162,0.1287
brca_metabric,MB-0163,MB-0163,0.3625
brca_metabric,MB-0164,MB-0164,-0.2737
brca_metabric,MB-0165,MB-0165,-0.6049
brca_metabric,MB-0166,MB-0166,-0.5237
brca_metabric,MB-0167,MB-0167,-0.0676
brca_metabric,MB-0168,MB-0168,0.2072
brca_metabric,MB-0169,MB-0169,-0.7932
brca_metabric,MB-0170,MB-0170,-0.7758
brca_metabric,MB-0171,MB-0171,-1.0759
brca_metabric,MB-0172,MB-0172,-0.5184
brca_metabric,MB-0173,MB-0173,0.3061
brca_metabric,MB-0174,MB-0174,-0.6195
brca_metabric,MB-0175,MB-0175,-0.9251
brca_metabric,MB-0176,MB-0176,-1.0948
brca_metabric,MB-0177,MB-0177,-1.2427
brca_metabric,MB-0178,MB-0178,0.6176
brca_metabric,MB-0179,MB-0179,-1.0925
brca_metabric,MB-0180,MB-0180,-0.2809
brca_metabric,MB-0181,MB-0181,-0.0429
brca_metabric,MB-0184,MB-0184,-0.1989
brca_metabric,MB-0185,MB-0185,0.2347
brca_metabric,MB-0188,MB-0188,-1.0448
brca_metabric,MB-0189,MB-0189,-0.4154
brca_metabric,MB-0191,MB-0191,-0.2386
brca_metabric,MB-0192,MB-0192,0.4221
brca_metabric,MB-0193,MB-0193,0.02
brca_metabric,MB-0194,MB-0194,-0.2684
brca_metabric,MB-0195,MB-0195,-1.2026
brca_metabric,MB-0197,MB-0197,-1.1136
brca_metabric,MB-0198,MB-0198,-0.6088
brca_metabric,MB-0199,MB-0199,-0.2222
brca_metabric,MB-0200,MB-0200,-1.5853
brca_metabric,MB-0201,MB-0201,-0.7855
brca_metabric,MB-0202,MB-0202,-0.4857
brca_metabric,MB-0203,MB-0203,-0.4557
brca_metabric,MB-0204,MB-0204,-0.6736
brca_metabric,MB-0205,MB-0205,-0.1559
brca_metabric,MB-0206,MB-0206,-0.6852
brca_metabric,MB-0207,MB-0207,-1.024
brca_metabric,MB-0209,MB-0209,-1.8288
brca_metabric,MB-0210,MB-0210,-0.9375
brca_metabric,MB-0211,MB-0211,-0.7983
brca_metabric,MB-0214,MB-0214,-0.7193
brca_metabric,MB-0215,MB-0215,-0.056
brca_metabric,MB-0218,MB-0218,0.0027
brca_metabric,MB-0220,MB-0220,-0.1863
brca_metabric,MB-0221,MB-0221,1.1944
brca_metabric,MB-0222,MB-0222,-0.4673
brca_metabric,MB-0223,MB-0223,0.1951
brca_metabric,MB-0224,MB-0224,-0.7488
brca_metabric,MB-0225,MB-0225,0.103
brca_metabric,MB-0226,MB-0226,-1.3889
brca_metabric,MB-0227,MB-0227,-1.6095
brca_metabric,MB-0228,MB-0228,-1.5139
brca_metabric,MB-0229,MB-0229,-0.3667
brca_metabric,MB-0230,MB-0230,-0.4364
brca_metabric,MB-0231,MB-0231,0.3333
brca_metabric,MB-0232,MB-0232,-0.726
brca_metabric,MB-0233,MB-0233,0.2804
brca_metabric,MB-0234,MB-0234,-1.305
brca_metabric,MB-0235,MB-0235,-1.2966
brca_metabric,MB-0236,MB-0236,-1.0533
brca_metabric,MB-0238,MB-0238,0.1366
brca_metabric,MB-0239,MB-0239,-0.0112
brca_metabric,MB-0241,MB-0241,-0.45
brca_metabric,MB-0242,MB-0242,-0.8607
brca_metabric,MB-0243,MB-0243,-0.9536
brca_metabric,MB-0244,MB-0244,0.445
brca_metabric,MB-0245,MB-0245,0.7196
brca_metabric,MB-0247,MB-0247,-0.7213
brca_metabric,MB-0248,MB-0248,0.0171
brca_metabric,MB-0249,MB-0249,-0.8658
brca_metabric,MB-0253,MB-0253,0.0585
brca_metabric,MB-0256,MB-0256,-0.6118
brca_metabric,MB-0257,MB-0257,0.4569
brca_metabric,MB-0258,MB-0258,-0.1261
brca_metabric,MB-0259,MB-0259,-1.3865
